nohup: ignoring input
2025-05-11 22:26:47 - INFO - Setup for laplace_truedp ...
2025-05-11 22:26:47 - INFO - Skipping existing 1e-05 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.0001 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.001 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.011 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.021 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.031 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.041 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.051 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.061 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.071 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.081 ...
2025-05-11 22:26:47 - INFO - Skipping existing 0.091 ...
2025-05-11 22:54:03 - INFO - Training for patient 231 ...
2025-05-11 22:54:11 - INFO - Training for patient 232 ...
2025-05-11 22:54:16 - INFO - Training for patient 233 ...
2025-05-11 22:54:22 - INFO - Repeat 9/10 for epsilon 0.01
2025-05-11 22:54:22 - INFO - Training for patient 100 ...
2025-05-11 22:54:28 - INFO - Training for patient 101 ...
2025-05-11 22:54:33 - INFO - Training for patient 103 ...
2025-05-11 22:54:39 - INFO - Training for patient 106 ...
2025-05-11 22:54:46 - INFO - Training for patient 108 ...
2025-05-11 22:54:52 - INFO - Training for patient 109 ...
2025-05-11 22:54:58 - INFO - Training for patient 111 ...
2025-05-11 22:55:04 - INFO - Training for patient 112 ...
2025-05-11 22:55:11 - INFO - Training for patient 113 ...
2025-05-11 22:55:17 - INFO - Training for patient 115 ...
2025-05-11 22:55:24 - INFO - Training for patient 116 ...
2025-05-11 22:55:31 - INFO - Training for patient 117 ...
2025-05-11 22:55:37 - INFO - Training for patient 118 ...
2025-05-11 22:55:43 - INFO - Training for patient 119 ...
2025-05-11 22:55:50 - INFO - Training for patient 121 ...
2025-05-11 22:55:56 - INFO - Training for patient 122 ...
2025-05-11 22:56:05 - INFO - Training for patient 123 ...
2025-05-11 22:56:10 - INFO - Training for patient 124 ...
2025-05-11 22:56:17 - INFO - Training for patient 200 ...
2025-05-11 22:56:23 - INFO - Training for patient 203 ...
2025-05-11 22:56:29 - INFO - Training for patient 205 ...
2025-05-11 22:56:35 - INFO - Training for patient 208 ...
2025-05-11 22:56:41 - INFO - Training for patient 210 ...
2025-05-11 22:56:48 - INFO - Training for patient 212 ...
2025-05-11 22:56:53 - INFO - Training for patient 214 ...
2025-05-11 22:57:00 - INFO - Training for patient 215 ...
2025-05-11 22:57:06 - INFO - Training for patient 219 ...
2025-05-11 22:57:13 - INFO - Training for patient 220 ...
2025-05-11 22:57:20 - INFO - Training for patient 221 ...
2025-05-11 22:57:26 - INFO - Training for patient 228 ...
2025-05-11 22:57:32 - INFO - Training for patient 230 ...
2025-05-11 22:57:37 - INFO - Training for patient 231 ...
2025-05-11 22:57:43 - INFO - Training for patient 232 ...
2025-05-11 22:57:50 - INFO - Training for patient 233 ...
2025-05-11 22:57:56 - INFO - Repeat 10/10 for epsilon 0.01
2025-05-11 22:57:56 - INFO - Training for patient 100 ...
2025-05-11 22:58:02 - INFO - Training for patient 101 ...
2025-05-11 22:58:08 - INFO - Training for patient 103 ...
2025-05-11 22:58:13 - INFO - Training for patient 106 ...
2025-05-11 22:58:19 - INFO - Training for patient 108 ...
2025-05-11 22:58:24 - INFO - Training for patient 109 ...
2025-05-11 22:58:30 - INFO - Training for patient 111 ...
2025-05-11 22:58:35 - INFO - Training for patient 112 ...
2025-05-11 22:58:41 - INFO - Training for patient 113 ...
2025-05-11 22:58:47 - INFO - Training for patient 115 ...
2025-05-11 22:58:54 - INFO - Training for patient 116 ...
2025-05-11 22:59:00 - INFO - Training for patient 117 ...
2025-05-11 22:59:06 - INFO - Training for patient 118 ...
2025-05-11 22:59:12 - INFO - Training for patient 119 ...
2025-05-11 22:59:17 - INFO - Training for patient 121 ...
2025-05-11 22:59:24 - INFO - Training for patient 122 ...
2025-05-11 22:59:30 - INFO - Training for patient 123 ...
2025-05-11 22:59:36 - INFO - Training for patient 124 ...
2025-05-11 22:59:42 - INFO - Training for patient 200 ...
2025-05-11 22:59:49 - INFO - Training for patient 203 ...
2025-05-11 22:59:54 - INFO - Training for patient 205 ...
2025-05-11 23:00:00 - INFO - Training for patient 208 ...
2025-05-11 23:00:07 - INFO - Training for patient 210 ...
2025-05-11 23:00:12 - INFO - Training for patient 212 ...
2025-05-11 23:00:18 - INFO - Training for patient 214 ...
2025-05-11 23:00:24 - INFO - Training for patient 215 ...
2025-05-11 23:00:31 - INFO - Training for patient 219 ...
2025-05-11 23:00:37 - INFO - Training for patient 220 ...
2025-05-11 23:00:43 - INFO - Training for patient 221 ...
2025-05-11 23:00:49 - INFO - Training for patient 228 ...
2025-05-11 23:00:55 - INFO - Training for patient 230 ...
2025-05-11 23:01:00 - INFO - Training for patient 231 ...
2025-05-11 23:01:06 - INFO - Training for patient 232 ...
2025-05-11 23:01:12 - INFO - Training for patient 233 ...
2025-05-11 23:01:19 - INFO - All repeats for epsilon 0.01 done. Saving now ...
2025-05-11 23:01:33 - INFO - Starting with epsilon 0.11 ...
2025-05-11 23:01:33 - INFO - Repeat 1/10 for epsilon 0.11
2025-05-11 23:01:33 - INFO - Training for patient 100 ...
2025-05-11 23:01:41 - INFO - Training for patient 101 ...
2025-05-11 23:01:49 - INFO - Training for patient 103 ...
2025-05-11 23:01:58 - INFO - Training for patient 106 ...
2025-05-11 23:02:05 - INFO - Training for patient 108 ...
2025-05-11 23:02:15 - INFO - Training for patient 109 ...
2025-05-11 23:02:23 - INFO - Training for patient 111 ...
2025-05-11 23:02:31 - INFO - Training for patient 112 ...
2025-05-11 23:02:40 - INFO - Training for patient 113 ...
2025-05-11 23:02:48 - INFO - Training for patient 115 ...
2025-05-11 23:02:56 - INFO - Training for patient 116 ...
2025-05-11 23:03:05 - INFO - Training for patient 117 ...
2025-05-11 23:03:14 - INFO - Training for patient 118 ...
2025-05-11 23:03:23 - INFO - Training for patient 119 ...
2025-05-11 23:03:31 - INFO - Training for patient 121 ...
2025-05-11 23:03:39 - INFO - Training for patient 122 ...
2025-05-11 23:03:49 - INFO - Training for patient 123 ...
2025-05-11 23:04:00 - INFO - Training for patient 124 ...
2025-05-11 23:04:09 - INFO - Training for patient 200 ...
2025-05-11 23:04:16 - INFO - Training for patient 203 ...
2025-05-11 23:04:24 - INFO - Training for patient 205 ...
2025-05-11 23:04:34 - INFO - Training for patient 208 ...
2025-05-11 23:04:43 - INFO - Training for patient 210 ...
2025-05-11 23:04:52 - INFO - Training for patient 212 ...
2025-05-11 23:05:01 - INFO - Training for patient 214 ...
2025-05-11 23:05:09 - INFO - Training for patient 215 ...
2025-05-11 23:05:20 - INFO - Training for patient 219 ...
2025-05-11 23:05:28 - INFO - Training for patient 220 ...
2025-05-11 23:05:36 - INFO - Training for patient 221 ...
2025-05-11 23:05:46 - INFO - Training for patient 228 ...
2025-05-11 23:05:55 - INFO - Training for patient 230 ...
2025-05-11 23:06:03 - INFO - Training for patient 231 ...
2025-05-11 23:06:11 - INFO - Training for patient 232 ...
2025-05-11 23:06:19 - INFO - Training for patient 233 ...
2025-05-11 23:06:30 - INFO - Repeat 2/10 for epsilon 0.11
2025-05-11 23:06:30 - INFO - Training for patient 100 ...
2025-05-11 23:06:41 - INFO - Training for patient 101 ...
2025-05-11 23:06:50 - INFO - Training for patient 103 ...
2025-05-11 23:06:57 - INFO - Training for patient 106 ...
2025-05-11 23:07:06 - INFO - Training for patient 108 ...
2025-05-11 23:07:14 - INFO - Training for patient 109 ...
2025-05-11 23:07:23 - INFO - Training for patient 111 ...
2025-05-11 23:07:32 - INFO - Training for patient 112 ...
2025-05-11 23:07:41 - INFO - Training for patient 113 ...
2025-05-11 23:07:49 - INFO - Training for patient 115 ...
2025-05-11 23:08:01 - INFO - Training for patient 116 ...
2025-05-11 23:08:10 - INFO - Training for patient 117 ...
2025-05-11 23:08:20 - INFO - Training for patient 118 ...
2025-05-11 23:08:28 - INFO - Training for patient 119 ...
2025-05-11 23:08:34 - INFO - Training for patient 121 ...
2025-05-11 23:08:41 - INFO - Training for patient 122 ...
2025-05-11 23:08:52 - INFO - Training for patient 123 ...
2025-05-11 23:09:01 - INFO - Training for patient 124 ...
2025-05-11 23:09:08 - INFO - Training for patient 200 ...
2025-05-11 23:09:14 - INFO - Training for patient 203 ...
2025-05-11 23:09:25 - INFO - Training for patient 205 ...
2025-05-11 23:09:32 - INFO - Training for patient 208 ...
2025-05-11 23:09:41 - INFO - Training for patient 210 ...
2025-05-11 23:09:48 - INFO - Training for patient 212 ...
2025-05-11 23:10:00 - INFO - Training for patient 214 ...
2025-05-11 23:10:11 - INFO - Training for patient 215 ...
2025-05-11 23:10:23 - INFO - Training for patient 219 ...
2025-05-11 23:10:32 - INFO - Training for patient 220 ...
2025-05-11 23:10:41 - INFO - Training for patient 221 ...
2025-05-11 23:10:49 - INFO - Training for patient 228 ...
2025-05-11 23:10:57 - INFO - Training for patient 230 ...
2025-05-11 23:11:06 - INFO - Training for patient 231 ...
2025-05-11 23:11:13 - INFO - Training for patient 232 ...
2025-05-11 23:11:24 - INFO - Training for patient 233 ...
2025-05-11 23:11:33 - INFO - Repeat 3/10 for epsilon 0.11
2025-05-11 23:11:33 - INFO - Training for patient 100 ...
2025-05-11 23:11:42 - INFO - Training for patient 101 ...
2025-05-11 23:11:52 - INFO - Training for patient 103 ...
2025-05-11 23:12:00 - INFO - Training for patient 106 ...
2025-05-11 23:12:06 - INFO - Training for patient 108 ...
2025-05-11 23:12:15 - INFO - Training for patient 109 ...
2025-05-11 23:12:23 - INFO - Training for patient 111 ...
2025-05-11 23:12:34 - INFO - Training for patient 112 ...
2025-05-11 23:12:44 - INFO - Training for patient 113 ...
2025-05-11 23:12:54 - INFO - Training for patient 115 ...
2025-05-11 23:13:02 - INFO - Training for patient 116 ...
2025-05-11 23:13:10 - INFO - Training for patient 117 ...
2025-05-11 23:13:19 - INFO - Training for patient 118 ...
2025-05-11 23:13:29 - INFO - Training for patient 119 ...
2025-05-11 23:13:36 - INFO - Training for patient 121 ...
2025-05-11 23:13:42 - INFO - Training for patient 122 ...
2025-05-11 23:13:51 - INFO - Training for patient 123 ...
2025-05-11 23:14:00 - INFO - Training for patient 124 ...
2025-05-11 23:14:07 - INFO - Training for patient 200 ...
2025-05-11 23:14:15 - INFO - Training for patient 203 ...
