nohup: ignoring input
2025-03-20 07:38:12 - INFO - Setup for laplace ...
2025-03-20 07:43:56 - INFO - Training for patient 219 ...
2025-03-20 07:44:08 - INFO - Training for patient 220 ...
2025-03-20 07:44:16 - INFO - Training for patient 221 ...
2025-03-20 07:44:24 - INFO - Training for patient 228 ...
2025-03-20 07:44:34 - INFO - Training for patient 230 ...
2025-03-20 07:44:44 - INFO - Training for patient 231 ...
2025-03-20 07:44:54 - INFO - Training for patient 232 ...
2025-03-20 07:45:02 - INFO - Training for patient 233 ...
2025-03-20 07:45:10 - INFO - Repeat 2/10 for epsilon 0.11
2025-03-20 07:45:10 - INFO - Training for patient 100 ...
2025-03-20 07:45:19 - INFO - Training for patient 101 ...
2025-03-20 07:45:27 - INFO - Training for patient 103 ...
2025-03-20 07:45:34 - INFO - Training for patient 106 ...
2025-03-20 07:45:42 - INFO - Training for patient 108 ...
2025-03-20 07:45:54 - INFO - Training for patient 109 ...
2025-03-20 07:46:05 - INFO - Training for patient 111 ...
2025-03-20 07:46:12 - INFO - Training for patient 112 ...
2025-03-20 07:46:22 - INFO - Training for patient 113 ...
2025-03-20 07:46:32 - INFO - Training for patient 115 ...
2025-03-20 07:46:40 - INFO - Training for patient 116 ...
2025-03-20 07:46:51 - INFO - Training for patient 117 ...
2025-03-20 07:47:00 - INFO - Training for patient 118 ...
2025-03-20 07:47:08 - INFO - Training for patient 119 ...
2025-03-20 07:47:18 - INFO - Training for patient 121 ...
2025-03-20 07:47:27 - INFO - Training for patient 122 ...
2025-03-20 07:47:36 - INFO - Training for patient 123 ...
2025-03-20 07:47:45 - INFO - Training for patient 124 ...
2025-03-20 07:47:55 - INFO - Training for patient 200 ...
2025-03-20 07:48:05 - INFO - Training for patient 203 ...
2025-03-20 07:48:14 - INFO - Training for patient 205 ...
2025-03-20 07:48:24 - INFO - Training for patient 208 ...
2025-03-20 07:48:32 - INFO - Training for patient 210 ...
2025-03-20 07:48:42 - INFO - Training for patient 212 ...
2025-03-20 07:48:54 - INFO - Training for patient 214 ...
2025-03-20 07:49:03 - INFO - Training for patient 215 ...
2025-03-20 07:49:13 - INFO - Training for patient 219 ...
2025-03-20 07:49:24 - INFO - Training for patient 220 ...
2025-03-20 07:49:32 - INFO - Training for patient 221 ...
2025-03-20 07:49:42 - INFO - Training for patient 228 ...
2025-03-20 07:49:50 - INFO - Training for patient 230 ...
2025-03-20 07:49:58 - INFO - Training for patient 231 ...
2025-03-20 07:50:09 - INFO - Training for patient 232 ...
2025-03-20 07:50:20 - INFO - Training for patient 233 ...
2025-03-20 07:50:29 - INFO - Repeat 3/10 for epsilon 0.11
2025-03-20 07:50:29 - INFO - Training for patient 100 ...
2025-03-20 07:50:42 - INFO - Training for patient 101 ...
2025-03-20 07:50:51 - INFO - Training for patient 103 ...
2025-03-20 07:50:59 - INFO - Training for patient 106 ...
2025-03-20 07:51:09 - INFO - Training for patient 108 ...
2025-03-20 07:51:20 - INFO - Training for patient 109 ...
2025-03-20 07:51:30 - INFO - Training for patient 111 ...
2025-03-20 07:51:39 - INFO - Training for patient 112 ...
2025-03-20 07:51:46 - INFO - Training for patient 113 ...
2025-03-20 07:51:54 - INFO - Training for patient 115 ...
2025-03-20 07:52:04 - INFO - Training for patient 116 ...
2025-03-20 07:52:16 - INFO - Training for patient 117 ...
2025-03-20 07:52:27 - INFO - Training for patient 118 ...
2025-03-20 07:52:35 - INFO - Training for patient 119 ...
2025-03-20 07:52:42 - INFO - Training for patient 121 ...
2025-03-20 07:52:49 - INFO - Training for patient 122 ...
2025-03-20 07:53:00 - INFO - Training for patient 123 ...
2025-03-20 07:53:10 - INFO - Training for patient 124 ...
2025-03-20 07:53:19 - INFO - Training for patient 200 ...
2025-03-20 07:53:25 - INFO - Training for patient 203 ...
2025-03-20 07:53:34 - INFO - Training for patient 205 ...
2025-03-20 07:53:44 - INFO - Training for patient 208 ...
2025-03-20 07:53:53 - INFO - Training for patient 210 ...
2025-03-20 07:54:00 - INFO - Training for patient 212 ...
2025-03-20 07:54:09 - INFO - Training for patient 214 ...
2025-03-20 07:54:19 - INFO - Training for patient 215 ...
2025-03-20 07:54:32 - INFO - Training for patient 219 ...
2025-03-20 07:54:41 - INFO - Training for patient 220 ...
2025-03-20 07:54:50 - INFO - Training for patient 221 ...
2025-03-20 07:54:58 - INFO - Training for patient 228 ...
2025-03-20 07:55:07 - INFO - Training for patient 230 ...
2025-03-20 07:55:15 - INFO - Training for patient 231 ...
2025-03-20 07:55:24 - INFO - Training for patient 232 ...
2025-03-20 07:55:33 - INFO - Training for patient 233 ...
2025-03-20 07:55:41 - INFO - Repeat 4/10 for epsilon 0.11
2025-03-20 07:55:41 - INFO - Training for patient 100 ...
2025-03-20 07:55:49 - INFO - Training for patient 101 ...
2025-03-20 07:56:00 - INFO - Training for patient 103 ...
2025-03-20 07:56:09 - INFO - Training for patient 106 ...
2025-03-20 07:56:20 - INFO - Training for patient 108 ...
2025-03-20 07:56:28 - INFO - Training for patient 109 ...
2025-03-20 07:56:39 - INFO - Training for patient 111 ...
2025-03-20 07:56:46 - INFO - Training for patient 112 ...
2025-03-20 07:56:56 - INFO - Training for patient 113 ...
2025-03-20 07:57:05 - INFO - Training for patient 115 ...
2025-03-20 07:57:14 - INFO - Training for patient 116 ...
2025-03-20 07:57:24 - INFO - Training for patient 117 ...
2025-03-20 07:57:33 - INFO - Training for patient 118 ...
2025-03-20 07:57:42 - INFO - Training for patient 119 ...
2025-03-20 07:57:50 - INFO - Training for patient 121 ...
2025-03-20 07:58:01 - INFO - Training for patient 122 ...
2025-03-20 07:58:08 - INFO - Training for patient 123 ...
2025-03-20 07:58:15 - INFO - Training for patient 124 ...
2025-03-20 07:58:25 - INFO - Training for patient 200 ...
2025-03-20 07:58:32 - INFO - Training for patient 203 ...
2025-03-20 07:58:44 - INFO - Training for patient 205 ...
2025-03-20 07:58:52 - INFO - Training for patient 208 ...
2025-03-20 07:59:03 - INFO - Training for patient 210 ...
2025-03-20 07:59:11 - INFO - Training for patient 212 ...
2025-03-20 07:59:23 - INFO - Training for patient 214 ...
2025-03-20 07:59:33 - INFO - Training for patient 215 ...
2025-03-20 07:59:41 - INFO - Training for patient 219 ...
2025-03-20 07:59:55 - INFO - Training for patient 220 ...
2025-03-20 08:00:04 - INFO - Training for patient 221 ...
2025-03-20 08:00:12 - INFO - Training for patient 228 ...
2025-03-20 08:00:21 - INFO - Training for patient 230 ...
2025-03-20 08:00:32 - INFO - Training for patient 231 ...
2025-03-20 08:00:40 - INFO - Training for patient 232 ...
2025-03-20 08:00:49 - INFO - Training for patient 233 ...
2025-03-20 08:00:58 - INFO - Repeat 5/10 for epsilon 0.11
2025-03-20 08:00:58 - INFO - Training for patient 100 ...
2025-03-20 08:01:08 - INFO - Training for patient 101 ...
2025-03-20 08:01:17 - INFO - Training for patient 103 ...
2025-03-20 08:01:27 - INFO - Training for patient 106 ...
2025-03-20 08:01:38 - INFO - Training for patient 108 ...
2025-03-20 08:01:48 - INFO - Training for patient 109 ...
2025-03-20 08:01:56 - INFO - Training for patient 111 ...
2025-03-20 08:02:06 - INFO - Training for patient 112 ...
2025-03-20 08:02:16 - INFO - Training for patient 113 ...
2025-03-20 08:02:25 - INFO - Training for patient 115 ...
2025-03-20 08:02:35 - INFO - Training for patient 116 ...
2025-03-20 08:02:45 - INFO - Training for patient 117 ...
2025-03-20 08:02:54 - INFO - Training for patient 118 ...
2025-03-20 08:03:02 - INFO - Training for patient 119 ...
2025-03-20 08:03:10 - INFO - Training for patient 121 ...
2025-03-20 08:03:19 - INFO - Training for patient 122 ...
2025-03-20 08:03:28 - INFO - Training for patient 123 ...
2025-03-20 08:03:37 - INFO - Training for patient 124 ...
2025-03-20 08:03:45 - INFO - Training for patient 200 ...
2025-03-20 08:03:53 - INFO - Training for patient 203 ...
2025-03-20 08:04:01 - INFO - Training for patient 205 ...
2025-03-20 08:04:08 - INFO - Training for patient 208 ...
2025-03-20 08:04:15 - INFO - Training for patient 210 ...
2025-03-20 08:04:25 - INFO - Training for patient 212 ...
2025-03-20 08:04:33 - INFO - Training for patient 214 ...
2025-03-20 08:04:43 - INFO - Training for patient 215 ...
2025-03-20 08:04:55 - INFO - Training for patient 219 ...
2025-03-20 08:05:08 - INFO - Training for patient 220 ...
2025-03-20 08:05:17 - INFO - Training for patient 221 ...
2025-03-20 08:05:25 - INFO - Training for patient 228 ...
2025-03-20 08:05:33 - INFO - Training for patient 230 ...
2025-03-20 08:05:43 - INFO - Training for patient 231 ...
2025-03-20 08:05:52 - INFO - Training for patient 232 ...
2025-03-20 08:06:02 - INFO - Training for patient 233 ...
2025-03-20 08:06:10 - INFO - Repeat 6/10 for epsilon 0.11
2025-03-20 08:06:10 - INFO - Training for patient 100 ...
2025-03-20 08:06:21 - INFO - Training for patient 101 ...
2025-03-20 08:06:30 - INFO - Training for patient 103 ...
2025-03-20 08:06:39 - INFO - Training for patient 106 ...
2025-03-20 08:06:48 - INFO - Training for patient 108 ...
2025-03-20 08:06:58 - INFO - Training for patient 109 ...
2025-03-20 08:07:08 - INFO - Training for patient 111 ...
2025-03-20 08:07:16 - INFO - Training for patient 112 ...
2025-03-20 08:07:29 - INFO - Training for patient 113 ...
2025-03-20 08:07:37 - INFO - Training for patient 115 ...
2025-03-20 08:07:45 - INFO - Training for patient 116 ...
2025-03-20 08:07:59 - INFO - Training for patient 117 ...
2025-03-20 08:08:06 - INFO - Training for patient 118 ...
2025-03-20 08:08:15 - INFO - Training for patient 119 ...
2025-03-20 08:08:23 - INFO - Training for patient 121 ...
2025-03-20 08:08:31 - INFO - Training for patient 122 ...
2025-03-20 08:08:39 - INFO - Training for patient 123 ...
2025-03-20 08:08:49 - INFO - Training for patient 124 ...
2025-03-20 08:08:58 - INFO - Training for patient 200 ...
2025-03-20 08:09:08 - INFO - Training for patient 203 ...
2025-03-20 08:09:18 - INFO - Training for patient 205 ...
2025-03-20 08:09:27 - INFO - Training for patient 208 ...
2025-03-20 08:09:36 - INFO - Training for patient 210 ...
2025-03-20 08:09:45 - INFO - Training for patient 212 ...
2025-03-20 08:09:55 - INFO - Training for patient 214 ...
2025-03-20 08:10:05 - INFO - Training for patient 215 ...
2025-03-20 08:10:16 - INFO - Training for patient 219 ...
2025-03-20 08:10:27 - INFO - Training for patient 220 ...
2025-03-20 08:10:34 - INFO - Training for patient 221 ...
2025-03-20 08:10:43 - INFO - Training for patient 228 ...
2025-03-20 08:10:53 - INFO - Training for patient 230 ...
2025-03-20 08:11:03 - INFO - Training for patient 231 ...
2025-03-20 08:11:11 - INFO - Training for patient 232 ...
2025-03-20 08:11:22 - INFO - Training for patient 233 ...
2025-03-20 08:11:32 - INFO - Repeat 7/10 for epsilon 0.11
2025-03-20 08:11:32 - INFO - Training for patient 100 ...
2025-03-20 08:11:43 - INFO - Training for patient 101 ...
2025-03-20 08:11:52 - INFO - Training for patient 103 ...
2025-03-20 08:12:00 - INFO - Training for patient 106 ...
2025-03-20 08:12:11 - INFO - Training for patient 108 ...
2025-03-20 08:12:22 - INFO - Training for patient 109 ...
2025-03-20 08:12:31 - INFO - Training for patient 111 ...
2025-03-20 08:12:39 - INFO - Training for patient 112 ...
2025-03-20 08:12:49 - INFO - Training for patient 113 ...
2025-03-20 08:12:59 - INFO - Training for patient 115 ...
2025-03-20 08:13:07 - INFO - Training for patient 116 ...
2025-03-20 08:13:20 - INFO - Training for patient 117 ...
2025-03-20 08:13:29 - INFO - Training for patient 118 ...
2025-03-20 08:13:38 - INFO - Training for patient 119 ...
2025-03-20 08:13:46 - INFO - Training for patient 121 ...
2025-03-20 08:13:53 - INFO - Training for patient 122 ...
2025-03-20 08:14:02 - INFO - Training for patient 123 ...
2025-03-20 08:14:12 - INFO - Training for patient 124 ...
2025-03-20 08:14:21 - INFO - Training for patient 200 ...
2025-03-20 08:14:30 - INFO - Training for patient 203 ...
2025-03-20 08:14:40 - INFO - Training for patient 205 ...
2025-03-20 08:14:49 - INFO - Training for patient 208 ...
2025-03-20 08:14:59 - INFO - Training for patient 210 ...
2025-03-20 08:15:09 - INFO - Training for patient 212 ...
2025-03-20 08:15:20 - INFO - Training for patient 214 ...
2025-03-20 08:15:31 - INFO - Training for patient 215 ...
2025-03-20 08:15:42 - INFO - Training for patient 219 ...
2025-03-20 08:15:52 - INFO - Training for patient 220 ...
2025-03-20 08:16:01 - INFO - Training for patient 221 ...
2025-03-20 08:16:11 - INFO - Training for patient 228 ...
2025-03-20 08:16:19 - INFO - Training for patient 230 ...
2025-03-20 08:16:26 - INFO - Training for patient 231 ...
2025-03-20 08:16:37 - INFO - Training for patient 232 ...
2025-03-20 08:16:47 - INFO - Training for patient 233 ...
2025-03-20 08:16:57 - INFO - Repeat 8/10 for epsilon 0.11
2025-03-20 08:16:57 - INFO - Training for patient 100 ...
2025-03-20 08:17:11 - INFO - Training for patient 101 ...
2025-03-20 08:17:20 - INFO - Training for patient 103 ...
2025-03-20 08:17:28 - INFO - Training for patient 106 ...
2025-03-20 08:17:38 - INFO - Training for patient 108 ...
2025-03-20 08:17:47 - INFO - Training for patient 109 ...
2025-03-20 08:17:58 - INFO - Training for patient 111 ...
2025-03-20 08:18:07 - INFO - Training for patient 112 ...
2025-03-20 08:18:16 - INFO - Training for patient 113 ...
2025-03-20 08:18:24 - INFO - Training for patient 115 ...
2025-03-20 08:18:33 - INFO - Training for patient 116 ...
2025-03-20 08:18:44 - INFO - Training for patient 117 ...
2025-03-20 08:18:53 - INFO - Training for patient 118 ...
2025-03-20 08:19:03 - INFO - Training for patient 119 ...
2025-03-20 08:19:13 - INFO - Training for patient 121 ...
2025-03-20 08:19:22 - INFO - Training for patient 122 ...
2025-03-20 08:19:30 - INFO - Training for patient 123 ...
2025-03-20 08:19:41 - INFO - Training for patient 124 ...
2025-03-20 08:19:50 - INFO - Training for patient 200 ...
2025-03-20 08:19:58 - INFO - Training for patient 203 ...
2025-03-20 08:20:07 - INFO - Training for patient 205 ...
2025-03-20 08:20:14 - INFO - Training for patient 208 ...
2025-03-20 08:20:23 - INFO - Training for patient 210 ...
2025-03-20 08:20:30 - INFO - Training for patient 212 ...
2025-03-20 08:20:41 - INFO - Training for patient 214 ...
2025-03-20 08:20:50 - INFO - Training for patient 215 ...
2025-03-20 08:21:01 - INFO - Training for patient 219 ...
2025-03-20 08:21:10 - INFO - Training for patient 220 ...
2025-03-20 08:21:18 - INFO - Training for patient 221 ...
2025-03-20 08:21:28 - INFO - Training for patient 228 ...
2025-03-20 08:21:38 - INFO - Training for patient 230 ...
2025-03-20 08:21:46 - INFO - Training for patient 231 ...
2025-03-20 08:21:57 - INFO - Training for patient 232 ...
2025-03-20 08:22:05 - INFO - Training for patient 233 ...
2025-03-20 08:22:15 - INFO - Repeat 9/10 for epsilon 0.11
2025-03-20 08:22:15 - INFO - Training for patient 100 ...
2025-03-20 08:22:24 - INFO - Training for patient 101 ...
2025-03-20 08:22:33 - INFO - Training for patient 103 ...
2025-03-20 08:22:41 - INFO - Training for patient 106 ...
2025-03-20 08:22:51 - INFO - Training for patient 108 ...
2025-03-20 08:23:03 - INFO - Training for patient 109 ...
2025-03-20 08:23:13 - INFO - Training for patient 111 ...
2025-03-20 08:23:21 - INFO - Training for patient 112 ...
2025-03-20 08:23:30 - INFO - Training for patient 113 ...
2025-03-20 08:23:42 - INFO - Training for patient 115 ...
2025-03-20 08:23:54 - INFO - Training for patient 116 ...
2025-03-20 08:24:03 - INFO - Training for patient 117 ...
2025-03-20 08:24:13 - INFO - Training for patient 118 ...
2025-03-20 08:24:23 - INFO - Training for patient 119 ...
2025-03-20 08:24:32 - INFO - Training for patient 121 ...
2025-03-20 08:24:41 - INFO - Training for patient 122 ...
2025-03-20 08:24:52 - INFO - Training for patient 123 ...
2025-03-20 08:25:00 - INFO - Training for patient 124 ...
2025-03-20 08:25:08 - INFO - Training for patient 200 ...
2025-03-20 08:25:17 - INFO - Training for patient 203 ...
2025-03-20 08:25:27 - INFO - Training for patient 205 ...
2025-03-20 08:25:37 - INFO - Training for patient 208 ...
2025-03-20 08:25:48 - INFO - Training for patient 210 ...
2025-03-20 08:25:57 - INFO - Training for patient 212 ...
2025-03-20 08:26:08 - INFO - Training for patient 214 ...
2025-03-20 08:26:18 - INFO - Training for patient 215 ...
2025-03-20 08:26:28 - INFO - Training for patient 219 ...
2025-03-20 08:26:38 - INFO - Training for patient 220 ...
2025-03-20 08:26:46 - INFO - Training for patient 221 ...
2025-03-20 08:26:56 - INFO - Training for patient 228 ...
2025-03-20 08:27:03 - INFO - Training for patient 230 ...
2025-03-20 08:27:12 - INFO - Training for patient 231 ...
2025-03-20 08:27:21 - INFO - Training for patient 232 ...
2025-03-20 08:27:31 - INFO - Training for patient 233 ...
2025-03-20 08:27:39 - INFO - Repeat 10/10 for epsilon 0.11
2025-03-20 08:27:39 - INFO - Training for patient 100 ...
2025-03-20 08:27:48 - INFO - Training for patient 101 ...
2025-03-20 08:27:55 - INFO - Training for patient 103 ...
2025-03-20 08:28:04 - INFO - Training for patient 106 ...
2025-03-20 08:28:14 - INFO - Training for patient 108 ...
2025-03-20 08:28:24 - INFO - Training for patient 109 ...
2025-03-20 08:28:32 - INFO - Training for patient 111 ...
2025-03-20 08:28:40 - INFO - Training for patient 112 ...
2025-03-20 08:28:50 - INFO - Training for patient 113 ...
2025-03-20 08:28:58 - INFO - Training for patient 115 ...
2025-03-20 08:29:06 - INFO - Training for patient 116 ...
2025-03-20 08:29:16 - INFO - Training for patient 117 ...
2025-03-20 08:29:28 - INFO - Training for patient 118 ...
2025-03-20 08:29:38 - INFO - Training for patient 119 ...
2025-03-20 08:29:46 - INFO - Training for patient 121 ...
2025-03-20 08:29:55 - INFO - Training for patient 122 ...
2025-03-20 08:30:05 - INFO - Training for patient 123 ...
2025-03-20 08:30:14 - INFO - Training for patient 124 ...
2025-03-20 08:30:23 - INFO - Training for patient 200 ...
2025-03-20 08:30:32 - INFO - Training for patient 203 ...
2025-03-20 08:30:42 - INFO - Training for patient 205 ...
2025-03-20 08:30:51 - INFO - Training for patient 208 ...
2025-03-20 08:31:01 - INFO - Training for patient 210 ...
2025-03-20 08:31:09 - INFO - Training for patient 212 ...
2025-03-20 08:31:20 - INFO - Training for patient 214 ...
2025-03-20 08:31:31 - INFO - Training for patient 215 ...
2025-03-20 08:31:39 - INFO - Training for patient 219 ...
2025-03-20 08:31:51 - INFO - Training for patient 220 ...
2025-03-20 08:32:01 - INFO - Training for patient 221 ...
2025-03-20 08:32:08 - INFO - Training for patient 228 ...
2025-03-20 08:32:16 - INFO - Training for patient 230 ...
2025-03-20 08:32:26 - INFO - Training for patient 231 ...
2025-03-20 08:32:34 - INFO - Training for patient 232 ...
2025-03-20 08:32:43 - INFO - Training for patient 233 ...
2025-03-20 08:32:52 - INFO - All repeats for epsilon 0.11 done. Saving now ...
2025-03-20 08:34:48 - INFO - Starting with epsilon 0.21 ...
2025-03-20 08:34:48 - INFO - Repeat 1/10 for epsilon 0.21
2025-03-20 08:34:48 - INFO - Training for patient 100 ...
2025-03-20 08:34:57 - INFO - Training for patient 101 ...
2025-03-20 08:35:06 - INFO - Training for patient 103 ...
2025-03-20 08:35:19 - INFO - Training for patient 106 ...
2025-03-20 08:35:27 - INFO - Training for patient 108 ...
2025-03-20 08:35:36 - INFO - Training for patient 109 ...
2025-03-20 08:35:44 - INFO - Training for patient 111 ...
2025-03-20 08:35:53 - INFO - Training for patient 112 ...
2025-03-20 08:36:05 - INFO - Training for patient 113 ...
2025-03-20 08:36:15 - INFO - Training for patient 115 ...
2025-03-20 08:36:25 - INFO - Training for patient 116 ...
2025-03-20 08:36:34 - INFO - Training for patient 117 ...
2025-03-20 08:36:43 - INFO - Training for patient 118 ...
2025-03-20 08:36:52 - INFO - Training for patient 119 ...
2025-03-20 08:37:02 - INFO - Training for patient 121 ...
2025-03-20 08:37:11 - INFO - Training for patient 122 ...
2025-03-20 08:37:21 - INFO - Training for patient 123 ...
2025-03-20 08:37:30 - INFO - Training for patient 124 ...
2025-03-20 08:37:37 - INFO - Training for patient 200 ...
2025-03-20 08:37:46 - INFO - Training for patient 203 ...
2025-03-20 08:37:56 - INFO - Training for patient 205 ...
2025-03-20 08:38:05 - INFO - Training for patient 208 ...
2025-03-20 08:38:13 - INFO - Training for patient 210 ...
2025-03-20 08:38:21 - INFO - Training for patient 212 ...
2025-03-20 08:38:30 - INFO - Training for patient 214 ...
2025-03-20 08:38:40 - INFO - Training for patient 215 ...
2025-03-20 08:38:49 - INFO - Training for patient 219 ...
2025-03-20 08:39:01 - INFO - Training for patient 220 ...
2025-03-20 08:39:08 - INFO - Training for patient 221 ...
2025-03-20 08:39:21 - INFO - Training for patient 228 ...
2025-03-20 08:39:30 - INFO - Training for patient 230 ...
2025-03-20 08:39:42 - INFO - Training for patient 231 ...
2025-03-20 08:39:51 - INFO - Training for patient 232 ...
2025-03-20 08:40:04 - INFO - Training for patient 233 ...
2025-03-20 08:40:11 - INFO - Repeat 2/10 for epsilon 0.21
2025-03-20 08:40:11 - INFO - Training for patient 100 ...
2025-03-20 08:40:23 - INFO - Training for patient 101 ...
2025-03-20 08:40:31 - INFO - Training for patient 103 ...
2025-03-20 08:40:42 - INFO - Training for patient 106 ...
2025-03-20 08:40:50 - INFO - Training for patient 108 ...
2025-03-20 08:40:59 - INFO - Training for patient 109 ...
2025-03-20 08:41:08 - INFO - Training for patient 111 ...
2025-03-20 08:41:17 - INFO - Training for patient 112 ...
2025-03-20 08:41:26 - INFO - Training for patient 113 ...
2025-03-20 08:41:33 - INFO - Training for patient 115 ...
2025-03-20 08:41:41 - INFO - Training for patient 116 ...
2025-03-20 08:41:51 - INFO - Training for patient 117 ...
2025-03-20 08:42:00 - INFO - Training for patient 118 ...
2025-03-20 08:42:09 - INFO - Training for patient 119 ...
2025-03-20 08:42:17 - INFO - Training for patient 121 ...
2025-03-20 08:42:25 - INFO - Training for patient 122 ...
2025-03-20 08:42:35 - INFO - Training for patient 123 ...
2025-03-20 08:42:43 - INFO - Training for patient 124 ...
2025-03-20 08:42:52 - INFO - Training for patient 200 ...
2025-03-20 08:42:59 - INFO - Training for patient 203 ...
2025-03-20 08:43:10 - INFO - Training for patient 205 ...
2025-03-20 08:43:19 - INFO - Training for patient 208 ...
2025-03-20 08:43:29 - INFO - Training for patient 210 ...
2025-03-20 08:43:39 - INFO - Training for patient 212 ...
2025-03-20 08:43:49 - INFO - Training for patient 214 ...
2025-03-20 08:43:59 - INFO - Training for patient 215 ...
2025-03-20 08:44:10 - INFO - Training for patient 219 ...
2025-03-20 08:44:21 - INFO - Training for patient 220 ...
2025-03-20 08:44:32 - INFO - Training for patient 221 ...
2025-03-20 08:44:42 - INFO - Training for patient 228 ...
2025-03-20 08:44:53 - INFO - Training for patient 230 ...
2025-03-20 08:45:05 - INFO - Training for patient 231 ...
2025-03-20 08:45:15 - INFO - Training for patient 232 ...
2025-03-20 08:45:26 - INFO - Training for patient 233 ...
2025-03-20 08:45:36 - INFO - Repeat 3/10 for epsilon 0.21
2025-03-20 08:45:36 - INFO - Training for patient 100 ...
2025-03-20 08:45:45 - INFO - Training for patient 101 ...
2025-03-20 08:45:52 - INFO - Training for patient 103 ...
2025-03-20 08:46:01 - INFO - Training for patient 106 ...
2025-03-20 08:46:12 - INFO - Training for patient 108 ...
2025-03-20 08:46:20 - INFO - Training for patient 109 ...
2025-03-20 08:46:30 - INFO - Training for patient 111 ...
2025-03-20 08:46:41 - INFO - Training for patient 112 ...
2025-03-20 08:46:50 - INFO - Training for patient 113 ...
2025-03-20 08:47:00 - INFO - Training for patient 115 ...
2025-03-20 08:47:09 - INFO - Training for patient 116 ...
2025-03-20 08:47:21 - INFO - Training for patient 117 ...
2025-03-20 08:47:29 - INFO - Training for patient 118 ...
2025-03-20 08:47:39 - INFO - Training for patient 119 ...
2025-03-20 08:47:48 - INFO - Training for patient 121 ...
2025-03-20 08:47:56 - INFO - Training for patient 122 ...
2025-03-20 08:48:07 - INFO - Training for patient 123 ...
2025-03-20 08:48:18 - INFO - Training for patient 124 ...
2025-03-20 08:48:27 - INFO - Training for patient 200 ...
2025-03-20 08:48:34 - INFO - Training for patient 203 ...
2025-03-20 08:48:42 - INFO - Training for patient 205 ...
2025-03-20 08:48:53 - INFO - Training for patient 208 ...
2025-03-20 08:49:02 - INFO - Training for patient 210 ...
2025-03-20 08:49:11 - INFO - Training for patient 212 ...
2025-03-20 08:49:21 - INFO - Training for patient 214 ...
2025-03-20 08:49:31 - INFO - Training for patient 215 ...
2025-03-20 08:49:43 - INFO - Training for patient 219 ...
2025-03-20 08:49:54 - INFO - Training for patient 220 ...
2025-03-20 08:50:01 - INFO - Training for patient 221 ...
2025-03-20 08:50:11 - INFO - Training for patient 228 ...
2025-03-20 08:50:19 - INFO - Training for patient 230 ...
2025-03-20 08:50:31 - INFO - Training for patient 231 ...
2025-03-20 08:50:40 - INFO - Training for patient 232 ...
2025-03-20 08:50:48 - INFO - Training for patient 233 ...
2025-03-20 08:50:55 - INFO - Repeat 4/10 for epsilon 0.21
2025-03-20 08:50:55 - INFO - Training for patient 100 ...
2025-03-20 08:51:06 - INFO - Training for patient 101 ...
2025-03-20 08:51:15 - INFO - Training for patient 103 ...
2025-03-20 08:51:24 - INFO - Training for patient 106 ...
2025-03-20 08:51:33 - INFO - Training for patient 108 ...
2025-03-20 08:51:40 - INFO - Training for patient 109 ...
2025-03-20 08:51:50 - INFO - Training for patient 111 ...
2025-03-20 08:51:58 - INFO - Training for patient 112 ...
2025-03-20 08:52:09 - INFO - Training for patient 113 ...
2025-03-20 08:52:19 - INFO - Training for patient 115 ...
2025-03-20 08:52:27 - INFO - Training for patient 116 ...
2025-03-20 08:52:39 - INFO - Training for patient 117 ...
