nohup: ignoring input
2025-03-15 21:40:37 - INFO - Setup for laplace ...
2025-03-15 21:54:39 - INFO - Training for patient 203 ...
2025-03-15 21:54:50 - INFO - Training for patient 205 ...
2025-03-15 21:55:01 - INFO - Training for patient 208 ...
2025-03-15 21:55:09 - INFO - Training for patient 210 ...
2025-03-15 21:55:21 - INFO - Training for patient 212 ...
2025-03-15 21:55:30 - INFO - Training for patient 214 ...
2025-03-15 21:55:40 - INFO - Training for patient 215 ...
2025-03-15 21:55:48 - INFO - Training for patient 219 ...
2025-03-15 21:55:58 - INFO - Training for patient 220 ...
2025-03-15 21:56:06 - INFO - Training for patient 221 ...
2025-03-15 21:56:15 - INFO - Training for patient 228 ...
2025-03-15 21:56:23 - INFO - Training for patient 230 ...
2025-03-15 21:56:32 - INFO - Training for patient 231 ...
2025-03-15 21:56:40 - INFO - Training for patient 232 ...
2025-03-15 21:56:51 - INFO - Training for patient 233 ...
2025-03-15 21:57:00 - INFO - Repeat 4/10 for epsilon 1e-05
2025-03-15 21:57:00 - INFO - Training for patient 100 ...
2025-03-15 21:57:09 - INFO - Training for patient 101 ...
2025-03-15 21:57:19 - INFO - Training for patient 103 ...
2025-03-15 21:57:29 - INFO - Training for patient 106 ...
2025-03-15 21:57:39 - INFO - Training for patient 108 ...
2025-03-15 21:57:47 - INFO - Training for patient 109 ...
2025-03-15 21:57:56 - INFO - Training for patient 111 ...
2025-03-15 21:58:06 - INFO - Training for patient 112 ...
2025-03-15 21:58:19 - INFO - Training for patient 113 ...
2025-03-15 21:58:29 - INFO - Training for patient 115 ...
2025-03-15 21:58:39 - INFO - Training for patient 116 ...
2025-03-15 21:58:49 - INFO - Training for patient 117 ...
2025-03-15 21:58:56 - INFO - Training for patient 118 ...
2025-03-15 21:59:03 - INFO - Training for patient 119 ...
2025-03-15 21:59:12 - INFO - Training for patient 121 ...
2025-03-15 21:59:20 - INFO - Training for patient 122 ...
2025-03-15 21:59:32 - INFO - Training for patient 123 ...
2025-03-15 21:59:42 - INFO - Training for patient 124 ...
2025-03-15 21:59:51 - INFO - Training for patient 200 ...
2025-03-15 22:00:00 - INFO - Training for patient 203 ...
2025-03-15 22:00:11 - INFO - Training for patient 205 ...
2025-03-15 22:00:23 - INFO - Training for patient 208 ...
2025-03-15 22:00:32 - INFO - Training for patient 210 ...
2025-03-15 22:00:42 - INFO - Training for patient 212 ...
2025-03-15 22:00:52 - INFO - Training for patient 214 ...
2025-03-15 22:01:04 - INFO - Training for patient 215 ...
2025-03-15 22:01:16 - INFO - Training for patient 219 ...
2025-03-15 22:01:25 - INFO - Training for patient 220 ...
2025-03-15 22:01:33 - INFO - Training for patient 221 ...
2025-03-15 22:01:43 - INFO - Training for patient 228 ...
2025-03-15 22:01:51 - INFO - Training for patient 230 ...
2025-03-15 22:02:00 - INFO - Training for patient 231 ...
2025-03-15 22:02:09 - INFO - Training for patient 232 ...
2025-03-15 22:02:18 - INFO - Training for patient 233 ...
2025-03-15 22:02:28 - INFO - Repeat 5/10 for epsilon 1e-05
2025-03-15 22:02:28 - INFO - Training for patient 100 ...
2025-03-15 22:02:38 - INFO - Training for patient 101 ...
2025-03-15 22:02:46 - INFO - Training for patient 103 ...
2025-03-15 22:02:56 - INFO - Training for patient 106 ...
2025-03-15 22:03:07 - INFO - Training for patient 108 ...
2025-03-15 22:03:18 - INFO - Training for patient 109 ...
2025-03-15 22:03:29 - INFO - Training for patient 111 ...
2025-03-15 22:03:38 - INFO - Training for patient 112 ...
2025-03-15 22:03:48 - INFO - Training for patient 113 ...
2025-03-15 22:03:59 - INFO - Training for patient 115 ...
2025-03-15 22:04:08 - INFO - Training for patient 116 ...
2025-03-15 22:04:21 - INFO - Training for patient 117 ...
2025-03-15 22:04:31 - INFO - Training for patient 118 ...
2025-03-15 22:04:39 - INFO - Training for patient 119 ...
2025-03-15 22:04:47 - INFO - Training for patient 121 ...
2025-03-15 22:04:57 - INFO - Training for patient 122 ...
2025-03-15 22:05:07 - INFO - Training for patient 123 ...
2025-03-15 22:05:18 - INFO - Training for patient 124 ...
2025-03-15 22:05:27 - INFO - Training for patient 200 ...
2025-03-15 22:05:37 - INFO - Training for patient 203 ...
2025-03-15 22:05:47 - INFO - Training for patient 205 ...
2025-03-15 22:05:55 - INFO - Training for patient 208 ...
2025-03-15 22:06:05 - INFO - Training for patient 210 ...
2025-03-15 22:06:14 - INFO - Training for patient 212 ...
2025-03-15 22:06:23 - INFO - Training for patient 214 ...
2025-03-15 22:06:33 - INFO - Training for patient 215 ...
2025-03-15 22:06:44 - INFO - Training for patient 219 ...
2025-03-15 22:06:54 - INFO - Training for patient 220 ...
2025-03-15 22:07:03 - INFO - Training for patient 221 ...
2025-03-15 22:07:13 - INFO - Training for patient 228 ...
2025-03-15 22:07:21 - INFO - Training for patient 230 ...
2025-03-15 22:07:32 - INFO - Training for patient 231 ...
2025-03-15 22:07:41 - INFO - Training for patient 232 ...
2025-03-15 22:07:51 - INFO - Training for patient 233 ...
2025-03-15 22:07:58 - INFO - Repeat 6/10 for epsilon 1e-05
2025-03-15 22:07:58 - INFO - Training for patient 100 ...
2025-03-15 22:08:10 - INFO - Training for patient 101 ...
2025-03-15 22:08:19 - INFO - Training for patient 103 ...
2025-03-15 22:08:29 - INFO - Training for patient 106 ...
2025-03-15 22:08:38 - INFO - Training for patient 108 ...
2025-03-15 22:08:49 - INFO - Training for patient 109 ...
2025-03-15 22:09:02 - INFO - Training for patient 111 ...
2025-03-15 22:09:11 - INFO - Training for patient 112 ...
2025-03-15 22:09:21 - INFO - Training for patient 113 ...
2025-03-15 22:09:30 - INFO - Training for patient 115 ...
2025-03-15 22:09:39 - INFO - Training for patient 116 ...
2025-03-15 22:09:51 - INFO - Training for patient 117 ...
2025-03-15 22:10:00 - INFO - Training for patient 118 ...
2025-03-15 22:10:10 - INFO - Training for patient 119 ...
2025-03-15 22:10:20 - INFO - Training for patient 121 ...
2025-03-15 22:10:29 - INFO - Training for patient 122 ...
2025-03-15 22:10:40 - INFO - Training for patient 123 ...
2025-03-15 22:10:48 - INFO - Training for patient 124 ...
2025-03-15 22:10:58 - INFO - Training for patient 200 ...
2025-03-15 22:11:07 - INFO - Training for patient 203 ...
2025-03-15 22:11:18 - INFO - Training for patient 205 ...
2025-03-15 22:11:28 - INFO - Training for patient 208 ...
2025-03-15 22:11:36 - INFO - Training for patient 210 ...
2025-03-15 22:11:47 - INFO - Training for patient 212 ...
2025-03-15 22:11:58 - INFO - Training for patient 214 ...
2025-03-15 22:12:06 - INFO - Training for patient 215 ...
2025-03-15 22:12:17 - INFO - Training for patient 219 ...
2025-03-15 22:12:28 - INFO - Training for patient 220 ...
2025-03-15 22:12:36 - INFO - Training for patient 221 ...
2025-03-15 22:12:46 - INFO - Training for patient 228 ...
2025-03-15 22:12:54 - INFO - Training for patient 230 ...
2025-03-15 22:13:03 - INFO - Training for patient 231 ...
2025-03-15 22:13:12 - INFO - Training for patient 232 ...
2025-03-15 22:13:23 - INFO - Training for patient 233 ...
2025-03-15 22:13:32 - INFO - Repeat 7/10 for epsilon 1e-05
2025-03-15 22:13:32 - INFO - Training for patient 100 ...
2025-03-15 22:13:42 - INFO - Training for patient 101 ...
2025-03-15 22:13:51 - INFO - Training for patient 103 ...
2025-03-15 22:14:01 - INFO - Training for patient 106 ...
2025-03-15 22:14:12 - INFO - Training for patient 108 ...
2025-03-15 22:14:22 - INFO - Training for patient 109 ...
2025-03-15 22:14:32 - INFO - Training for patient 111 ...
2025-03-15 22:14:39 - INFO - Training for patient 112 ...
2025-03-15 22:14:51 - INFO - Training for patient 113 ...
2025-03-15 22:15:02 - INFO - Training for patient 115 ...
2025-03-15 22:15:10 - INFO - Training for patient 116 ...
2025-03-15 22:15:22 - INFO - Training for patient 117 ...
2025-03-15 22:15:31 - INFO - Training for patient 118 ...
2025-03-15 22:15:40 - INFO - Training for patient 119 ...
2025-03-15 22:15:51 - INFO - Training for patient 121 ...
2025-03-15 22:15:59 - INFO - Training for patient 122 ...
2025-03-15 22:16:08 - INFO - Training for patient 123 ...
2025-03-15 22:16:17 - INFO - Training for patient 124 ...
2025-03-15 22:16:27 - INFO - Training for patient 200 ...
2025-03-15 22:16:35 - INFO - Training for patient 203 ...
2025-03-15 22:16:44 - INFO - Training for patient 205 ...
2025-03-15 22:16:52 - INFO - Training for patient 208 ...
2025-03-15 22:17:01 - INFO - Training for patient 210 ...
2025-03-15 22:17:10 - INFO - Training for patient 212 ...
2025-03-15 22:17:21 - INFO - Training for patient 214 ...
2025-03-15 22:17:30 - INFO - Training for patient 215 ...
2025-03-15 22:17:42 - INFO - Training for patient 219 ...
2025-03-15 22:17:53 - INFO - Training for patient 220 ...
2025-03-15 22:18:00 - INFO - Training for patient 221 ...
2025-03-15 22:18:08 - INFO - Training for patient 228 ...
2025-03-15 22:18:16 - INFO - Training for patient 230 ...
2025-03-15 22:18:24 - INFO - Training for patient 231 ...
2025-03-15 22:18:32 - INFO - Training for patient 232 ...
2025-03-15 22:18:41 - INFO - Training for patient 233 ...
2025-03-15 22:18:49 - INFO - Repeat 8/10 for epsilon 1e-05
2025-03-15 22:18:49 - INFO - Training for patient 100 ...
2025-03-15 22:19:02 - INFO - Training for patient 101 ...
2025-03-15 22:19:12 - INFO - Training for patient 103 ...
2025-03-15 22:19:19 - INFO - Training for patient 106 ...
2025-03-15 22:19:30 - INFO - Training for patient 108 ...
2025-03-15 22:19:38 - INFO - Training for patient 109 ...
2025-03-15 22:19:49 - INFO - Training for patient 111 ...
2025-03-15 22:19:56 - INFO - Training for patient 112 ...
2025-03-15 22:20:07 - INFO - Training for patient 113 ...
2025-03-15 22:20:16 - INFO - Training for patient 115 ...
2025-03-15 22:20:26 - INFO - Training for patient 116 ...
2025-03-15 22:20:38 - INFO - Training for patient 117 ...
2025-03-15 22:20:47 - INFO - Training for patient 118 ...
2025-03-15 22:20:57 - INFO - Training for patient 119 ...
2025-03-15 22:21:07 - INFO - Training for patient 121 ...
2025-03-15 22:21:14 - INFO - Training for patient 122 ...
2025-03-15 22:21:23 - INFO - Training for patient 123 ...
2025-03-15 22:21:35 - INFO - Training for patient 124 ...
2025-03-15 22:21:44 - INFO - Training for patient 200 ...
2025-03-15 22:21:55 - INFO - Training for patient 203 ...
2025-03-15 22:22:06 - INFO - Training for patient 205 ...
2025-03-15 22:22:14 - INFO - Training for patient 208 ...
2025-03-15 22:22:23 - INFO - Training for patient 210 ...
2025-03-15 22:22:33 - INFO - Training for patient 212 ...
2025-03-15 22:22:42 - INFO - Training for patient 214 ...
2025-03-15 22:22:51 - INFO - Training for patient 215 ...
2025-03-15 22:23:01 - INFO - Training for patient 219 ...
2025-03-15 22:23:13 - INFO - Training for patient 220 ...
2025-03-15 22:23:22 - INFO - Training for patient 221 ...
2025-03-15 22:23:30 - INFO - Training for patient 228 ...
2025-03-15 22:23:38 - INFO - Training for patient 230 ...
2025-03-15 22:23:46 - INFO - Training for patient 231 ...
2025-03-15 22:23:55 - INFO - Training for patient 232 ...
2025-03-15 22:24:04 - INFO - Training for patient 233 ...
2025-03-15 22:24:14 - INFO - Repeat 9/10 for epsilon 1e-05
2025-03-15 22:24:14 - INFO - Training for patient 100 ...
2025-03-15 22:24:24 - INFO - Training for patient 101 ...
2025-03-15 22:24:33 - INFO - Training for patient 103 ...
2025-03-15 22:24:43 - INFO - Training for patient 106 ...
2025-03-15 22:24:52 - INFO - Training for patient 108 ...
2025-03-15 22:25:02 - INFO - Training for patient 109 ...
2025-03-15 22:25:11 - INFO - Training for patient 111 ...
2025-03-15 22:25:20 - INFO - Training for patient 112 ...
2025-03-15 22:25:31 - INFO - Training for patient 113 ...
2025-03-15 22:25:41 - INFO - Training for patient 115 ...
2025-03-15 22:25:51 - INFO - Training for patient 116 ...
2025-03-15 22:26:03 - INFO - Training for patient 117 ...
2025-03-15 22:26:11 - INFO - Training for patient 118 ...
2025-03-15 22:26:19 - INFO - Training for patient 119 ...
2025-03-15 22:26:31 - INFO - Training for patient 121 ...
2025-03-15 22:26:43 - INFO - Training for patient 122 ...
2025-03-15 22:26:52 - INFO - Training for patient 123 ...
2025-03-15 22:27:03 - INFO - Training for patient 124 ...
2025-03-15 22:27:14 - INFO - Training for patient 200 ...
2025-03-15 22:27:23 - INFO - Training for patient 203 ...
2025-03-15 22:27:33 - INFO - Training for patient 205 ...
2025-03-15 22:27:41 - INFO - Training for patient 208 ...
2025-03-15 22:27:50 - INFO - Training for patient 210 ...
2025-03-15 22:28:01 - INFO - Training for patient 212 ...
2025-03-15 22:28:11 - INFO - Training for patient 214 ...
2025-03-15 22:28:21 - INFO - Training for patient 215 ...
2025-03-15 22:28:34 - INFO - Training for patient 219 ...
2025-03-15 22:28:44 - INFO - Training for patient 220 ...
2025-03-15 22:28:55 - INFO - Training for patient 221 ...
2025-03-15 22:29:05 - INFO - Training for patient 228 ...
2025-03-15 22:29:13 - INFO - Training for patient 230 ...
2025-03-15 22:29:23 - INFO - Training for patient 231 ...
2025-03-15 22:29:33 - INFO - Training for patient 232 ...
2025-03-15 22:29:46 - INFO - Training for patient 233 ...
2025-03-15 22:29:53 - INFO - Repeat 10/10 for epsilon 1e-05
2025-03-15 22:29:53 - INFO - Training for patient 100 ...
2025-03-15 22:30:04 - INFO - Training for patient 101 ...
2025-03-15 22:30:11 - INFO - Training for patient 103 ...
2025-03-15 22:30:19 - INFO - Training for patient 106 ...
2025-03-15 22:30:31 - INFO - Training for patient 108 ...
2025-03-15 22:30:42 - INFO - Training for patient 109 ...
2025-03-15 22:30:51 - INFO - Training for patient 111 ...
2025-03-15 22:30:59 - INFO - Training for patient 112 ...
2025-03-15 22:31:10 - INFO - Training for patient 113 ...
2025-03-15 22:31:20 - INFO - Training for patient 115 ...
2025-03-15 22:31:30 - INFO - Training for patient 116 ...
2025-03-15 22:31:41 - INFO - Training for patient 117 ...
2025-03-15 22:31:49 - INFO - Training for patient 118 ...
2025-03-15 22:31:59 - INFO - Training for patient 119 ...
2025-03-15 22:32:10 - INFO - Training for patient 121 ...
2025-03-15 22:32:19 - INFO - Training for patient 122 ...
2025-03-15 22:32:28 - INFO - Training for patient 123 ...
2025-03-15 22:32:37 - INFO - Training for patient 124 ...
2025-03-15 22:32:46 - INFO - Training for patient 200 ...
2025-03-15 22:32:55 - INFO - Training for patient 203 ...
2025-03-15 22:33:05 - INFO - Training for patient 205 ...
2025-03-15 22:33:13 - INFO - Training for patient 208 ...
2025-03-15 22:33:21 - INFO - Training for patient 210 ...
2025-03-15 22:33:31 - INFO - Training for patient 212 ...
2025-03-15 22:33:45 - INFO - Training for patient 214 ...
2025-03-15 22:33:55 - INFO - Training for patient 215 ...
2025-03-15 22:34:06 - INFO - Training for patient 219 ...
2025-03-15 22:34:19 - INFO - Training for patient 220 ...
2025-03-15 22:34:29 - INFO - Training for patient 221 ...
2025-03-15 22:34:39 - INFO - Training for patient 228 ...
2025-03-15 22:34:47 - INFO - Training for patient 230 ...
2025-03-15 22:34:58 - INFO - Training for patient 231 ...
2025-03-15 22:35:05 - INFO - Training for patient 232 ...
2025-03-15 22:35:15 - INFO - Training for patient 233 ...
2025-03-15 22:35:23 - INFO - All repeats for epsilon 1e-05 done. Saving now ...
2025-03-15 22:35:36 - INFO - Starting with epsilon 0.0001 ...
2025-03-15 22:35:38 - INFO - Repeat 1/10 for epsilon 0.0001
2025-03-15 22:35:38 - INFO - Training for patient 100 ...
2025-03-15 22:35:46 - INFO - Training for patient 101 ...
2025-03-15 22:35:55 - INFO - Training for patient 103 ...
2025-03-15 22:36:05 - INFO - Training for patient 106 ...
2025-03-15 22:36:14 - INFO - Training for patient 108 ...
2025-03-15 22:36:26 - INFO - Training for patient 109 ...
2025-03-15 22:36:34 - INFO - Training for patient 111 ...
2025-03-15 22:36:43 - INFO - Training for patient 112 ...
2025-03-15 22:36:52 - INFO - Training for patient 113 ...
2025-03-15 22:37:01 - INFO - Training for patient 115 ...
2025-03-15 22:37:13 - INFO - Training for patient 116 ...
2025-03-15 22:37:24 - INFO - Training for patient 117 ...
2025-03-15 22:37:32 - INFO - Training for patient 118 ...
2025-03-15 22:37:44 - INFO - Training for patient 119 ...
2025-03-15 22:37:52 - INFO - Training for patient 121 ...
2025-03-15 22:38:00 - INFO - Training for patient 122 ...
2025-03-15 22:38:10 - INFO - Training for patient 123 ...
2025-03-15 22:38:20 - INFO - Training for patient 124 ...
2025-03-15 22:38:28 - INFO - Training for patient 200 ...
2025-03-15 22:38:36 - INFO - Training for patient 203 ...
2025-03-15 22:38:45 - INFO - Training for patient 205 ...
2025-03-15 22:38:56 - INFO - Training for patient 208 ...
2025-03-15 22:39:06 - INFO - Training for patient 210 ...
2025-03-15 22:39:16 - INFO - Training for patient 212 ...
2025-03-15 22:39:26 - INFO - Training for patient 214 ...
2025-03-15 22:39:34 - INFO - Training for patient 215 ...
2025-03-15 22:39:46 - INFO - Training for patient 219 ...
2025-03-15 22:39:54 - INFO - Training for patient 220 ...
2025-03-15 22:40:04 - INFO - Training for patient 221 ...
2025-03-15 22:40:13 - INFO - Training for patient 228 ...
2025-03-15 22:40:22 - INFO - Training for patient 230 ...
2025-03-15 22:40:34 - INFO - Training for patient 231 ...
2025-03-15 22:40:43 - INFO - Training for patient 232 ...
2025-03-15 22:40:53 - INFO - Training for patient 233 ...
2025-03-15 22:41:02 - INFO - Repeat 2/10 for epsilon 0.0001
2025-03-15 22:41:02 - INFO - Training for patient 100 ...
2025-03-15 22:41:12 - INFO - Training for patient 101 ...
2025-03-15 22:41:19 - INFO - Training for patient 103 ...
2025-03-15 22:41:27 - INFO - Training for patient 106 ...
2025-03-15 22:41:37 - INFO - Training for patient 108 ...
2025-03-15 22:41:45 - INFO - Training for patient 109 ...
2025-03-15 22:41:56 - INFO - Training for patient 111 ...
2025-03-15 22:42:06 - INFO - Training for patient 112 ...
2025-03-15 22:42:17 - INFO - Training for patient 113 ...
2025-03-15 22:42:27 - INFO - Training for patient 115 ...
2025-03-15 22:42:36 - INFO - Training for patient 116 ...
2025-03-15 22:42:46 - INFO - Training for patient 117 ...
2025-03-15 22:42:55 - INFO - Training for patient 118 ...
2025-03-15 22:43:03 - INFO - Training for patient 119 ...
2025-03-15 22:43:11 - INFO - Training for patient 121 ...
2025-03-15 22:43:20 - INFO - Training for patient 122 ...
2025-03-15 22:43:29 - INFO - Training for patient 123 ...
2025-03-15 22:43:38 - INFO - Training for patient 124 ...
2025-03-15 22:43:47 - INFO - Training for patient 200 ...
2025-03-15 22:43:58 - INFO - Training for patient 203 ...
2025-03-15 22:44:08 - INFO - Training for patient 205 ...
2025-03-15 22:44:17 - INFO - Training for patient 208 ...
2025-03-15 22:44:27 - INFO - Training for patient 210 ...
2025-03-15 22:44:37 - INFO - Training for patient 212 ...
2025-03-15 22:44:48 - INFO - Training for patient 214 ...
2025-03-15 22:44:57 - INFO - Training for patient 215 ...
2025-03-15 22:45:09 - INFO - Training for patient 219 ...
2025-03-15 22:45:17 - INFO - Training for patient 220 ...
2025-03-15 22:45:27 - INFO - Training for patient 221 ...
2025-03-15 22:45:36 - INFO - Training for patient 228 ...
2025-03-15 22:45:46 - INFO - Training for patient 230 ...
2025-03-15 22:45:55 - INFO - Training for patient 231 ...
2025-03-15 22:46:05 - INFO - Training for patient 232 ...
2025-03-15 22:46:15 - INFO - Training for patient 233 ...
2025-03-15 22:46:26 - INFO - Repeat 3/10 for epsilon 0.0001
2025-03-15 22:46:26 - INFO - Training for patient 100 ...
2025-03-15 22:46:37 - INFO - Training for patient 101 ...
2025-03-15 22:46:45 - INFO - Training for patient 103 ...
2025-03-15 22:46:54 - INFO - Training for patient 106 ...
2025-03-15 22:47:05 - INFO - Training for patient 108 ...
2025-03-15 22:47:13 - INFO - Training for patient 109 ...
2025-03-15 22:47:22 - INFO - Training for patient 111 ...
2025-03-15 22:47:31 - INFO - Training for patient 112 ...
2025-03-15 22:47:41 - INFO - Training for patient 113 ...
2025-03-15 22:47:51 - INFO - Training for patient 115 ...
2025-03-15 22:48:00 - INFO - Training for patient 116 ...
2025-03-15 22:48:11 - INFO - Training for patient 117 ...
2025-03-15 22:48:21 - INFO - Training for patient 118 ...
2025-03-15 22:48:30 - INFO - Training for patient 119 ...
2025-03-15 22:48:40 - INFO - Training for patient 121 ...
2025-03-15 22:48:49 - INFO - Training for patient 122 ...
2025-03-15 22:48:59 - INFO - Training for patient 123 ...
2025-03-15 22:49:08 - INFO - Training for patient 124 ...
2025-03-15 22:49:18 - INFO - Training for patient 200 ...
2025-03-15 22:49:26 - INFO - Training for patient 203 ...
2025-03-15 22:49:35 - INFO - Training for patient 205 ...
2025-03-15 22:49:45 - INFO - Training for patient 208 ...
2025-03-15 22:49:55 - INFO - Training for patient 210 ...
2025-03-15 22:50:06 - INFO - Training for patient 212 ...
2025-03-15 22:50:17 - INFO - Training for patient 214 ...
2025-03-15 22:50:27 - INFO - Training for patient 215 ...
2025-03-15 22:50:37 - INFO - Training for patient 219 ...
2025-03-15 22:50:49 - INFO - Training for patient 220 ...
2025-03-15 22:51:00 - INFO - Training for patient 221 ...
2025-03-15 22:51:07 - INFO - Training for patient 228 ...
2025-03-15 22:51:17 - INFO - Training for patient 230 ...
2025-03-15 22:51:25 - INFO - Training for patient 231 ...
2025-03-15 22:51:33 - INFO - Training for patient 232 ...
2025-03-15 22:51:43 - INFO - Training for patient 233 ...
2025-03-15 22:51:53 - INFO - Repeat 4/10 for epsilon 0.0001
2025-03-15 22:51:53 - INFO - Training for patient 100 ...
2025-03-15 22:52:05 - INFO - Training for patient 101 ...
2025-03-15 22:52:12 - INFO - Training for patient 103 ...
2025-03-15 22:52:20 - INFO - Training for patient 106 ...
2025-03-15 22:52:29 - INFO - Training for patient 108 ...
2025-03-15 22:52:39 - INFO - Training for patient 109 ...
2025-03-15 22:52:50 - INFO - Training for patient 111 ...
2025-03-15 22:52:58 - INFO - Training for patient 112 ...
2025-03-15 22:53:07 - INFO - Training for patient 113 ...
2025-03-15 22:53:14 - INFO - Training for patient 115 ...
2025-03-15 22:53:25 - INFO - Training for patient 116 ...
